RunId,iteration,Step,size,n_resources,capacidad,densidad_obstaculos,max_steps,policy,lambda_dinamismo,competencia,costo_edicion,radio,rng,politica,entregas,pasos_utiles,pasos_deliberando,n_ediciones,n_ediciones_desperdiciadas,divergencias_reales,divergencias_detectadas,tareas_fallidas,carga_perdida,ceguera,latencia_deteccion,utilidad_bruta,costo_deliberacion,utilidad_neta
1826,28,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.0,0.9,5,3,28,CLOSED_LOOP,0,400,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
1827,28,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.0,1.0,5,3,28,CLOSED_LOOP,0,400,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
1815,28,400.0,15,8,3,0.15,400,COLD_RESTART,0.1,1.0,5,3,28,COLD_RESTART,0,400,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
1820,28,400.0,15,8,3,0.15,400,COLD_RESTART,0.5,0.5,5,3,28,COLD_RESTART,0,400,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
1829,28,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.1,0.7,5,3,28,CLOSED_LOOP,0,400,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
1830,28,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.1,0.9,5,3,28,CLOSED_LOOP,0,400,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
1828,28,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.1,0.5,5,3,28,CLOSED_LOOP,0,400,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
1832,28,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.25,0.5,5,3,28,CLOSED_LOOP,0,400,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
1834,28,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.25,0.9,5,3,28,CLOSED_LOOP,0,400,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
1831,28,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.1,1.0,5,3,28,CLOSED_LOOP,0,400,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
1837,28,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.5,0.7,5,3,28,CLOSED_LOOP,0,400,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
1838,28,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.5,0.9,5,3,28,CLOSED_LOOP,0,400,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
1840,28,400.0,15,8,3,0.15,400,GOVERNED,0.0,0.5,5,3,28,GOVERNED,0,400,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
1835,28,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.25,1.0,5,3,28,CLOSED_LOOP,0,400,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
1833,28,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.25,0.7,5,3,28,CLOSED_LOOP,0,400,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
1841,28,400.0,15,8,3,0.15,400,GOVERNED,0.0,0.7,5,3,28,GOVERNED,0,400,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
1844,28,400.0,15,8,3,0.15,400,GOVERNED,0.1,0.5,5,3,28,GOVERNED,0,400,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
1846,28,400.0,15,8,3,0.15,400,GOVERNED,0.1,0.9,5,3,28,GOVERNED,0,400,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
