RunId,iteration,Step,size,n_resources,capacidad,densidad_obstaculos,max_steps,policy,lambda_dinamismo,radio,competencia,costo_edicion,rng,politica,entregas,pasos_utiles,pasos_deliberando,n_ediciones,n_ediciones_desperdiciadas,divergencias_reales,divergencias_detectadas,tareas_fallidas,carga_perdida,ceguera,latencia_deteccion,utilidad_bruta,costo_deliberacion,utilidad_neta
768,16,400.0,15,8,3,0.15,400,OPEN_LOOP,0.0,1.0,0.9,5,16,OPEN_LOOP,11,400,0,0,0,0,0,0,0,0.0,0.0,110.0,0.0,110.0
770,16,400.0,15,8,3,0.15,400,OPEN_LOOP,0.0,,0.9,5,16,OPEN_LOOP,27,400,0,0,0,0,0,0,0,0.0,0.0,270.0,0.0,270.0
761,15,400.0,15,8,3,0.15,400,GOVERNED,0.1,,0.9,5,15,GOVERNED,15,244,135,17,26,29,29,4,0,0.0,1.0,150.0,0.0,150.0
772,16,400.0,15,8,3,0.15,400,OPEN_LOOP,0.1,3.0,0.9,5,16,OPEN_LOOP,8,398,0,0,0,3,3,2,0,0.0,2.0,80.0,0.0,80.0
774,16,400.0,15,8,3,0.15,400,OPEN_LOOP,0.25,1.0,0.9,5,16,OPEN_LOOP,5,400,0,0,0,0,0,0,0,0.0,0.0,50.0,0.0,50.0
743,15,400.0,15,8,3,0.15,400,COLD_RESTART,0.5,,0.9,5,15,COLD_RESTART,0,10,382,6,308,98,97,1,1,0.010204081632653073,1.0,0.0,0.0,0.0
773,16,400.0,15,8,3,0.15,400,OPEN_LOOP,0.1,,0.9,5,16,OPEN_LOOP,27,383,0,0,0,22,22,17,0,0.0,1.0,270.0,0.0,270.0
771,16,400.0,15,8,3,0.15,400,OPEN_LOOP,0.1,1.0,0.9,5,16,OPEN_LOOP,9,398,0,0,0,2,2,2,0,0.0,2.0,90.0,0.0,90.0
775,16,400.0,15,8,3,0.15,400,OPEN_LOOP,0.25,3.0,0.9,5,16,OPEN_LOOP,17,379,0,0,0,26,26,21,0,0.0,2.769230769230769,170.0,0.0,170.0
780,16,400.0,15,8,3,0.15,400,COLD_RESTART,0.0,1.0,0.9,5,16,COLD_RESTART,11,400,0,0,0,0,0,0,0,0.0,0.0,110.0,0.0,110.0
781,16,400.0,15,8,3,0.15,400,COLD_RESTART,0.0,3.0,0.9,5,16,COLD_RESTART,15,400,0,0,0,0,0,0,0,0.0,0.0,150.0,0.0,150.0
764,15,400.0,15,8,3,0.15,400,GOVERNED,0.25,,0.9,5,15,GOVERNED,3,87,286,23,115,72,72,4,0,0.0,1.0,30.0,0.0,30.0
777,16,400.0,15,8,3,0.15,400,OPEN_LOOP,0.5,1.0,0.9,5,16,OPEN_LOOP,7,393,0,0,0,7,7,7,0,0.0,1.0,70.0,0.0,70.0
776,16,400.0,15,8,3,0.15,400,OPEN_LOOP,0.25,,0.9,5,16,OPEN_LOOP,24,369,0,0,0,40,40,31,0,0.0,1.0,240.0,0.0,240.0
786,16,400.0,15,8,3,0.15,400,COLD_RESTART,0.25,1.0,0.9,5,16,COLD_RESTART,5,400,0,0,0,0,0,0,0,0.0,0.0,50.0,0.0,50.0
782,16,400.0,15,8,3,0.15,400,COLD_RESTART,0.0,,0.9,5,16,COLD_RESTART,27,400,0,0,0,0,0,0,0,0.0,0.0,270.0,0.0,270.0
779,16,400.0,15,8,3,0.15,400,OPEN_LOOP,0.5,,0.9,5,16,OPEN_LOOP,21,350,0,0,0,82,81,50,0,0.012195121951219523,1.0,210.0,0.0,210.0
778,16,400.0,15,8,3,0.15,400,OPEN_LOOP,0.5,3.0,0.9,5,16,OPEN_LOOP,21,348,0,0,0,63,61,52,0,0.031746031746031744,2.0,210.0,0.0,210.0
783,16,400.0,15,8,3,0.15,400,COLD_RESTART,0.1,1.0,0.9,5,16,COLD_RESTART,3,391,4,0,2,4,4,3,0,0.0,2.75,30.0,0.0,30.0
784,16,400.0,15,8,3,0.15,400,COLD_RESTART,0.1,3.0,0.9,5,16,COLD_RESTART,9,305,77,11,8,20,19,5,6,0.050000000000000044,3.263157894736842,90.0,0.0,90.0
789,16,400.0,15,8,3,0.15,400,COLD_RESTART,0.5,1.0,0.9,5,16,COLD_RESTART,5,351,36,1,17,18,18,7,0,0.0,1.2222222222222223,50.0,0.0,50.0
787,16,400.0,15,8,3,0.15,400,COLD_RESTART,0.25,3.0,0.9,5,16,COLD_RESTART,5,328,59,6,19,21,19,5,0,0.09523809523809523,1.1578947368421053,50.0,0.0,50.0
793,16,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.0,3.0,0.9,5,16,CLOSED_LOOP,15,400,0,0,0,0,0,0,0,0.0,0.0,150.0,0.0,150.0
792,16,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.0,1.0,0.9,5,16,CLOSED_LOOP,11,400,0,0,0,0,0,0,0,0.0,0.0,110.0,0.0,110.0
767,15,400.0,15,8,3,0.15,400,GOVERNED,0.5,,0.9,5,15,GOVERNED,0,11,378,9,317,97,97,1,0,0.0,1.0,0.0,0.0,0.0
798,16,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.25,1.0,0.9,5,16,CLOSED_LOOP,5,400,0,0,0,0,0,0,0,0.0,0.0,50.0,0.0,50.0
795,16,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.1,1.0,0.9,5,16,CLOSED_LOOP,3,391,4,0,2,4,4,3,0,0.0,2.75,30.0,0.0,30.0
788,16,400.0,15,8,3,0.15,400,COLD_RESTART,0.25,,0.9,5,16,COLD_RESTART,6,101,264,29,107,64,64,5,10,0.0,1.0,60.0,0.0,60.0
796,16,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.1,3.0,0.9,5,16,CLOSED_LOOP,12,332,56,8,6,15,15,3,0,0.0,4.333333333333333,120.0,0.0,120.0
799,16,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.25,3.0,0.9,5,16,CLOSED_LOOP,5,328,59,6,19,21,19,5,0,0.09523809523809523,1.1578947368421053,50.0,0.0,50.0
804,16,400.0,15,8,3,0.15,400,GOVERNED,0.0,1.0,0.9,5,16,GOVERNED,11,400,0,0,0,0,0,0,0,0.0,0.0,110.0,0.0,110.0
797,16,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.1,,0.9,5,16,CLOSED_LOOP,18,264,116,17,12,28,28,3,0,0.0,1.0,180.0,0.0,180.0
790,16,400.0,15,8,3,0.15,400,COLD_RESTART,0.5,3.0,0.9,5,16,COLD_RESTART,0,66,310,11,238,89,89,8,1,0.0,1.0,0.0,0.0,0.0
801,16,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.5,1.0,0.9,5,16,CLOSED_LOOP,5,351,36,1,17,18,18,7,0,0.0,1.2222222222222223,50.0,0.0,50.0
785,16,400.0,15,8,3,0.15,400,COLD_RESTART,0.1,,0.9,5,16,COLD_RESTART,8,176,194,26,36,44,44,3,12,0.0,1.0,80.0,0.0,80.0
807,16,400.0,15,8,3,0.15,400,GOVERNED,0.1,1.0,0.9,5,16,GOVERNED,3,391,4,0,2,4,4,3,0,0.0,2.75,30.0,0.0,30.0
794,16,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.0,,0.9,5,16,CLOSED_LOOP,27,400,0,0,0,0,0,0,0,0.0,0.0,270.0,0.0,270.0
810,16,400.0,15,8,3,0.15,400,GOVERNED,0.25,1.0,0.9,5,16,GOVERNED,5,400,0,0,0,0,0,0,0,0.0,0.0,50.0,0.0,50.0
805,16,400.0,15,8,3,0.15,400,GOVERNED,0.0,3.0,0.9,5,16,GOVERNED,15,400,0,0,0,0,0,0,0,0.0,0.0,150.0,0.0,150.0
791,16,400.0,15,8,3,0.15,400,COLD_RESTART,0.5,,0.9,5,16,COLD_RESTART,0,12,380,7,317,100,100,0,2,0.0,1.0,0.0,0.0,0.0
808,16,400.0,15,8,3,0.15,400,GOVERNED,0.1,3.0,0.9,5,16,GOVERNED,12,332,56,8,6,15,15,3,0,0.0,4.333333333333333,120.0,0.0,120.0
806,16,400.0,15,8,3,0.15,400,GOVERNED,0.0,,0.9,5,16,GOVERNED,27,400,0,0,0,0,0,0,0,0.0,0.0,270.0,0.0,270.0
802,16,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.5,3.0,0.9,5,16,CLOSED_LOOP,0,28,354,16,269,93,92,2,0,0.010752688172043001,1.0326086956521738,0.0,0.0,0.0
816,17,400.0,15,8,3,0.15,400,OPEN_LOOP,0.0,1.0,0.9,5,17,OPEN_LOOP,12,400,0,0,0,0,0,0,0,0.0,0.0,120.0,0.0,120.0
