RunId,iteration,Step,size,n_resources,capacidad,densidad_obstaculos,max_steps,policy,lambda_dinamismo,presupuesto,competencia,costo_edicion,radio,rng,politica,entregas,pasos_utiles,pasos_deliberando,n_ediciones,n_ediciones_desperdiciadas,divergencias_reales,divergencias_detectadas,tareas_fallidas,carga_perdida,ceguera,latencia_deteccion,utilidad_bruta,costo_deliberacion,utilidad_neta
110,4,400.0,15,8,3,0.15,400,GOVERNED,0.1,10,0.9,5,3,4,GOVERNED,7,368,27,3,3,9,9,1,0,0.0,3.6666666666666665,70.0,0.0,70.0
121,5,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.1,5,0.9,5,3,5,CLOSED_LOOP,7,391,5,1,0,4,4,3,0,0.0,4.5,70.0,0.0,70.0
116,4,400.0,15,8,3,0.15,400,GOVERNED,0.5,3,0.9,5,3,4,GOVERNED,8,272,104,3,64,51,50,20,0,0.019607843137254943,1.54,80.0,0.0,80.0
118,4,400.0,15,8,3,0.15,400,GOVERNED,0.5,10,0.9,5,3,4,GOVERNED,0,204,178,6,99,50,50,9,0,0.0,1.14,0.0,0.0,0.0
114,4,400.0,15,8,3,0.15,400,GOVERNED,0.25,10,0.9,5,3,4,GOVERNED,7,290,92,10,31,32,32,8,0,0.0,1.03125,70.0,0.0,70.0
122,5,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.1,10,0.9,5,3,5,CLOSED_LOOP,7,391,5,1,0,4,4,3,0,0.0,4.5,70.0,0.0,70.0
123,5,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.1,25,0.9,5,3,5,CLOSED_LOOP,7,391,5,1,0,4,4,3,0,0.0,4.5,70.0,0.0,70.0
124,5,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.25,3,0.9,5,3,5,CLOSED_LOOP,4,355,41,3,9,9,9,0,0,0.0,1.0,40.0,0.0,40.0
115,4,400.0,15,8,3,0.15,400,GOVERNED,0.25,25,0.9,5,3,4,GOVERNED,2,290,97,11,32,27,27,2,0,0.0,1.2962962962962963,20.0,0.0,20.0
107,4,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.5,25,0.9,5,3,4,CLOSED_LOOP,0,204,178,6,99,50,50,9,0,0.0,1.14,0.0,0.0,0.0
125,5,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.25,5,0.9,5,3,5,CLOSED_LOOP,4,355,41,3,9,9,9,0,0,0.0,1.0,40.0,0.0,40.0
132,5,400.0,15,8,3,0.15,400,GOVERNED,0.1,3,0.9,5,3,5,GOVERNED,7,391,5,1,0,4,4,3,0,0.0,4.5,70.0,0.0,70.0
126,5,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.25,10,0.9,5,3,5,CLOSED_LOOP,4,355,41,3,9,9,9,0,0,0.0,1.0,40.0,0.0,40.0
119,4,400.0,15,8,3,0.15,400,GOVERNED,0.5,25,0.9,5,3,4,GOVERNED,0,204,178,6,99,50,50,9,0,0.0,1.14,0.0,0.0,0.0
133,5,400.0,15,8,3,0.15,400,GOVERNED,0.1,5,0.9,5,3,5,GOVERNED,7,391,5,1,0,4,4,3,0,0.0,4.5,70.0,0.0,70.0
134,5,400.0,15,8,3,0.15,400,GOVERNED,0.1,10,0.9,5,3,5,GOVERNED,7,391,5,1,0,4,4,3,0,0.0,4.5,70.0,0.0,70.0
128,5,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.5,3,0.9,5,3,5,CLOSED_LOOP,0,128,253,11,140,71,71,5,0,0.0,1.028169014084507,0.0,0.0,0.0
129,5,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.5,5,0.9,5,3,5,CLOSED_LOOP,0,128,253,11,140,71,71,5,0,0.0,1.028169014084507,0.0,0.0,0.0
131,5,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.5,25,0.9,5,3,5,CLOSED_LOOP,0,128,253,11,140,71,71,5,0,0.0,1.028169014084507,0.0,0.0,0.0
